Name,Role,Institution,URL
Cécile Ané,Faculty,University of Wisconsin-Madison,
Minh Quang Bui,Faculty,Australian National University,
Mario dos Reis,Faculty,Queen Mary University London,
Casey Dunn,Faculty,Yale University,
Deren Eaton,Faculty,Yale University,
Ben Evans,Faculty,McMaster University,
Joseph Felsenstein,Faculty,University of Washington,
David Hillis,Faculty,University of Texas,
Mark Holder,Faculty,University of Kansas,
John Huelsenbeck,Faculty,University of California-Berkeley,
Emilia Huerta-Sanchez,Faculty,Brown University,
Michael Landis,Faculty,Washington University in St. Louis,
Paul Lewis,Faculty,University of Connecticut,
Conor Meehan,Faculty,Institute of Tropical Medicine,
William Pearson,Faculty,University of Virginia,
Antonis Rokas,Faculty,Vanderbilt University,
Edward Susko,Faculty,Dalhousie University,
David Weisrock,Faculty,University of Kentucky,
Rachel Williams,Faculty,Duke University,
Anne Yoder,Faculty,Duke University,
Derrick Zwickl,Faculty,University of Arizona,
Sungsik (Kevin) Kong,lead TA,Brown University,https://sungsik-kong.github.io/
Bruno do Rosario Petrucci,TA,Iowa State University,https://brpetrucci.github.io/
Adetunji “Teejay” Adesina,TA,University of Colorado Boulder,https://sawyerlab.org/team/
Blake Fauskee,TA,Duke University,
Jordan Satler,lead TA,Ohio State University,
Kate Taylor,TA,University of Maryland,
Áki Láruson,Lead TA,University of Iceland,
Deise Gonçalves,TA,"Department of Integrative Biology, University of Texas at Austin",
George Tiley,TA,Duke University,
Peter Larsen,TA,University of Minnesota,
Walker Pett,TA,Iowa State University,
Ben Liebeskind,TA,"University of Texas, Austin",
Nicholas Meyerson,TA,University of Colorado Boulder,
Noor White,TA,"National Eye Institute, National Science Foundation",
April Wright,TA,Southeastern Louisiana University,
Caitlin Randall,CA,Louisiana State University,
Camryn Ford,CA,The Ohio State University,
Elena Korte,CA,University of Connecticut,
Alyssa McGurer,CA,University of Connecticut,
Marlene Abouaassi,CA,University of Connecticut,
Marcus W. Fedarko,CA,University of Maryland,
